sample,subject_id,fastq_1,fastq_2,species,pcr_target_locus
SRR8283832,S316188,/data/reference/fastq/briney2019/subset/316188/SRR8283832_1.fastq.gz,/data/reference/fastq/briney2019/subset/316188/SRR8283832_2.fastq.gz,human,IGH
SRR8283833,S316188,/data/reference/fastq/briney2019/subset/316188/SRR8283833_1.fastq.gz,/data/reference/fastq/briney2019/subset/316188/SRR8283833_2.fastq.gz,human,IGH
SRR8283834,S316188,/data/reference/fastq/briney2019/subset/316188/SRR8283834_1.fastq.gz,/data/reference/fastq/briney2019/subset/316188/SRR8283834_2.fastq.gz,human,IGH
SRR8283605,S326650,/data/reference/fastq/briney2019/subset/326650/SRR8283605_1.fastq.gz,/data/reference/fastq/briney2019/subset/326650/SRR8283605_2.fastq.gz,human,IGH
SRR8283606,S326650,/data/reference/fastq/briney2019/subset/326650/SRR8283606_1.fastq.gz,/data/reference/fastq/briney2019/subset/326650/SRR8283606_2.fastq.gz,human,IGH
SRR8283614,S326650,/data/reference/fastq/briney2019/subset/326650/SRR8283614_1.fastq.gz,/data/reference/fastq/briney2019/subset/326650/SRR8283614_2.fastq.gz,human,IGH
SRR8283775,S326651,/data/reference/fastq/briney2019/subset/326651/SRR8283775_1.fastq.gz,/data/reference/fastq/briney2019/subset/326651/SRR8283775_2.fastq.gz,human,IGH
SRR8283783,S326651,/data/reference/fastq/briney2019/subset/326651/SRR8283783_1.fastq.gz,/data/reference/fastq/briney2019/subset/326651/SRR8283783_2.fastq.gz,human,IGH
SRR8283784,S326651,/data/reference/fastq/briney2019/subset/326651/SRR8283784_1.fastq.gz,/data/reference/fastq/briney2019/subset/326651/SRR8283784_2.fastq.gz,human,IGH
SRR8283660,S326713,/data/reference/fastq/briney2019/subset/326713/SRR8283660_1.fastq.gz,/data/reference/fastq/briney2019/subset/326713/SRR8283660_2.fastq.gz,human,IGH
SRR8283661,S326713,/data/reference/fastq/briney2019/subset/326713/SRR8283661_1.fastq.gz,/data/reference/fastq/briney2019/subset/326713/SRR8283661_2.fastq.gz,human,IGH
SRR8283662,S326713,/data/reference/fastq/briney2019/subset/326713/SRR8283662_1.fastq.gz,/data/reference/fastq/briney2019/subset/326713/SRR8283662_2.fastq.gz,human,IGH
SRR8283755,S326737,/data/reference/fastq/briney2019/subset/326737/SRR8283755_1.fastq.gz,/data/reference/fastq/briney2019/subset/326737/SRR8283755_2.fastq.gz,human,IGH
SRR8283757,S326737,/data/reference/fastq/briney2019/subset/326737/SRR8283757_1.fastq.gz,/data/reference/fastq/briney2019/subset/326737/SRR8283757_2.fastq.gz,human,IGH
SRR8283772,S326737,/data/reference/fastq/briney2019/subset/326737/SRR8283772_1.fastq.gz,/data/reference/fastq/briney2019/subset/326737/SRR8283772_2.fastq.gz,human,IGH
SRR8283851,S326780,/data/reference/fastq/briney2019/subset/326780/SRR8283851_1.fastq.gz,/data/reference/fastq/briney2019/subset/326780/SRR8283851_2.fastq.gz,human,IGH
SRR8283853,S326780,/data/reference/fastq/briney2019/subset/326780/SRR8283853_1.fastq.gz,/data/reference/fastq/briney2019/subset/326780/SRR8283853_2.fastq.gz,human,IGH
SRR8283854,S326780,/data/reference/fastq/briney2019/subset/326780/SRR8283854_1.fastq.gz,/data/reference/fastq/briney2019/subset/326780/SRR8283854_2.fastq.gz,human,IGH
SRR8283632,S326797,/data/reference/fastq/briney2019/subset/326797/SRR8283632_1.fastq.gz,/data/reference/fastq/briney2019/subset/326797/SRR8283632_2.fastq.gz,human,IGH
SRR8283633,S326797,/data/reference/fastq/briney2019/subset/326797/SRR8283633_1.fastq.gz,/data/reference/fastq/briney2019/subset/326797/SRR8283633_2.fastq.gz,human,IGH
SRR8283634,S326797,/data/reference/fastq/briney2019/subset/326797/SRR8283634_1.fastq.gz,/data/reference/fastq/briney2019/subset/326797/SRR8283634_2.fastq.gz,human,IGH
SRR8283725,S326907,/data/reference/fastq/briney2019/subset/326907/SRR8283725_1.fastq.gz,/data/reference/fastq/briney2019/subset/326907/SRR8283725_2.fastq.gz,human,IGH
SRR8283726,S326907,/data/reference/fastq/briney2019/subset/326907/SRR8283726_1.fastq.gz,/data/reference/fastq/briney2019/subset/326907/SRR8283726_2.fastq.gz,human,IGH
SRR8283728,S326907,/data/reference/fastq/briney2019/subset/326907/SRR8283728_1.fastq.gz,/data/reference/fastq/briney2019/subset/326907/SRR8283728_2.fastq.gz,human,IGH
SRR8283796,S327059,/data/reference/fastq/briney2019/subset/327059/SRR8283796_1.fastq.gz,/data/reference/fastq/briney2019/subset/327059/SRR8283796_2.fastq.gz,human,IGH
SRR8283797,S327059,/data/reference/fastq/briney2019/subset/327059/SRR8283797_1.fastq.gz,/data/reference/fastq/briney2019/subset/327059/SRR8283797_2.fastq.gz,human,IGH
SRR8283798,S327059,/data/reference/fastq/briney2019/subset/327059/SRR8283798_1.fastq.gz,/data/reference/fastq/briney2019/subset/327059/SRR8283798_2.fastq.gz,human,IGH
SRR8283871,D103,/data/reference/fastq/briney2019/subset/D103/SRR8283871_1.fastq.gz,/data/reference/fastq/briney2019/subset/D103/SRR8283871_2.fastq.gz,human,IGH
SRR8283880,D103,/data/reference/fastq/briney2019/subset/D103/SRR8283880_1.fastq.gz,/data/reference/fastq/briney2019/subset/D103/SRR8283880_2.fastq.gz,human,IGH
SRR8283881,D103,/data/reference/fastq/briney2019/subset/D103/SRR8283881_1.fastq.gz,/data/reference/fastq/briney2019/subset/D103/SRR8283881_2.fastq.gz,human,IGH
